mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.938447189331055,1.441280733307331,0.046012592315673825,0.007030359644195759,100,10,6,sqrt,18,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 18, 'class_weight': 'balanced'}",0.33094834962768765,0.5160479123064693,0.33164368379934955,0.3321359892601865,0.330900822220279,0.3683353514427944,0.07385770754176392,5
2.7445185661315916,1.2116924526076298,0.04877657890319824,0.004869517639061558,100,5,6,sqrt,12,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.35214438887082194,0.34201834580429286,0.3537719670750144,0.35341525709462757,0.3813938642019792,0.3565487646093472,0.013155531490256635,34
2.664576768875122,1.3681556131762218,0.05254664421081543,0.013696834014980156,100,10,4,sqrt,12,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.3475265787126112,0.3335011354479525,0.34784420924744747,0.35330617658203867,0.38424883252095926,0.3532853865022018,0.01681024859088405,47
2.8025591373443604,1.2792223781429832,0.04445810317993164,0.005090356212078695,100,5,4,sqrt,12,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.33858559919333325,0.3303786386517838,0.35632898419979386,0.35797795810356475,0.3774634366706195,0.35214692336381903,0.016432797555781847,48
4.254690217971802,2.1467408953068907,0.06030879020690918,0.009430564104506873,150,10,2,log2,12,balanced,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 12, 'class_weight': 'balanced'}",0.3473628063129491,0.34262800106247654,0.3542973766850966,0.3540670613831242,0.3789236538111265,0.3554557798509546,0.012522457222295183,38
2.9149547576904298,1.4239438326320943,0.04911661148071289,0.005904732912738115,100,5,6,log2,24,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 24, 'class_weight': 'balanced'}",0.3366344791067837,0.4986133014302028,0.33164368379934955,0.33217239878101873,0.33095874553527227,0.3660045217305254,0.06633426567451972,17
4.414976978302002,1.9632250241316673,0.06671323776245117,0.0037334028856401327,150,15,4,log2,18,balanced,"{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 18, 'class_weight': 'balanced'}",0.33100334935197323,0.49855876434437374,0.33162542243540827,0.343083028404415,0.3334352126945099,0.367541155446136,0.06565360660717774,6
5.757832813262939,2.655243466528074,0.08011221885681152,0.008148615651246962,200,5,2,sqrt,18,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 18, 'class_weight': 'balanced'}",0.33109497552364836,0.4986678266543418,0.33162542243540827,0.33217239878101873,0.32836149485387195,0.36438442364965784,0.06715450511286927,24
4.446493864059448,2.064246817386117,0.06273045539855956,0.009679949341786856,150,15,6,sqrt,24,balanced,"{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 24, 'class_weight': 'balanced'}",0.3309116731304965,0.49864056552474173,0.33162542243540827,0.33217239878101873,0.32832425093117557,0.3643348621605682,0.0671658054965091,33
2.933338832855225,1.418109132516476,0.0490689754486084,0.0044884642680325555,100,15,6,log2,18,balanced,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 18, 'class_weight': 'balanced'}",0.3308566433566434,0.4985042153929834,0.3316071590805851,0.343083028404415,0.33084321236531783,0.36697885171998895,0.06592675734485179,9
2.934282398223877,1.4184110999453978,0.0498929500579834,0.006695075855123823,100,10,2,log2,24,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 24, 'class_weight': 'balanced'}",0.33105833105833105,0.49864056552474173,0.33164368379934955,0.33217239878101873,0.32834287391751066,0.36437157061619035,0.06714745438475568,28
2.9080676555633547,1.4202789910777334,0.053833818435668944,0.006860421159783544,100,15,6,sqrt,18,balanced,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 18, 'class_weight': 'balanced'}",0.3308566433566434,0.4985042153929834,0.3316071590805851,0.343083028404415,0.33084321236531783,0.36697885171998895,0.06592675734485179,9
2.923971176147461,1.4176653989753583,0.049804401397705075,0.007919339360997164,100,15,2,sqrt,18,balanced,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 18, 'class_weight': 'balanced'}",0.33096668487165487,0.4985314913521157,0.33162542243540827,0.3519815849700157,0.3357206581236291,0.3697651683505647,0.0648321108595433,4
4.40834903717041,1.997934093914502,0.07166104316711426,0.013586013876887449,150,15,4,log2,24,balanced,"{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 24, 'class_weight': 'balanced'}",0.3420956161274073,0.49858603437024146,0.33162542243540827,0.33217239878101873,0.32834287391751066,0.3665644691263173,0.06617077947727282,13
5.754059934616089,2.711534047396804,0.08286004066467285,0.00968229347344849,200,5,2,sqrt,12,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.3448563137477572,0.34112193106020605,0.35291109240302015,0.34906408435198816,0.38185466139188445,0.3539616165909712,0.014497416568221271,43
4.423477506637573,2.0823623154622237,0.061960268020629886,0.004732600386009144,150,15,4,sqrt,24,balanced,"{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 24, 'class_weight': 'balanced'}",0.3420956161274073,0.49858603437024146,0.33162542243540827,0.33217239878101873,0.32834287391751066,0.3665644691263173,0.06617077947727282,13
